Data,EPS,Dividend,,,,,,,,,
30-Sep-05,? 108.60,? 36.67,,,,,,,,,
31-Aug-05,? 108.16,? 36.11,,,,,,,,,
31-Jul-05,? 106.93,? 35.41,,,,,,,,,
30-Jun-05,? 105.64,? 35.08,,,,,,,,,
31-May-05,? 104.00,? 35.21,,,,,,,,,
30-Apr-05,? 102.20,? 35.08,,,,,,,,,
31-Mar-05,? 101.19,? 34.94,,,,,,,,,
28-Feb-05,? 101.04,? 34.57,,,,,,,,,
31-Jan-05,? 100.67,? 34.15,,,,,,,,,
31-Dec-04,? 99.93,? 33.98,,,,,,,,,
30-Nov-04,? 99.12,? 33.81,,,,,,,,,
31-Oct-04,? 98.73,? 33.56,,,,,,,,,
30-Sep-04,? 98.81,? 33.18,,,,,,,,,
31-Aug-04,? 98.09,? 32.90,,,,,,,,,
31-Jul-04,? 97.22,? 32.76,,,,,,,,,
30-Jun-04,? 96.14,? 32.78,,,,,,,,,
31-May-04,? 94.07,? 32.52,,,,,,,,,
30-Apr-04,? 92.23,? 32.22,,,,,,,,,
31-Mar-04,? 90.13,? 31.85,,,,,,,,,
29-Feb-04,? 88.81,? 31.62,,,,,,,,,
31-Jan-04,? 87.38,? 31.47,,,,,,,,,
31-Dec-03,? 85.90,? 31.24,,,,,,,,,
30-Nov-03,? 79.84,? 31.07,,,,,,,,,
31-Oct-03,? 73.68,? 30.86,,,,,,,,,
30-Sep-03,? 67.66,? 30.64,,,,,,,,,
31-Aug-03,? 65.52,? 30.14,,,,,,,,,
31-Jul-03,? 63.39,? 29.59,,,,,,,,,
30-Jun-03,? 61.09,? 29.09,,,,,,,,,
31-May-03,? 58.66,? 28.94,,,,,,,,,
30-Apr-03,? 56.07,? 28.80,,,,,,,,,
31-Mar-03,? 53.46,? 28.58,,,,,,,,,
28-Feb-03,? 52.17,? 28.65,,,,,,,,,
31-Jan-03,? 50.95,? 28.64,,,,,,,,,
31-Dec-02,? 49.54,? 28.61,,,,,,,,,
30-Nov-02,? 50.89,? 28.69,,,,,,,,,
31-Oct-02,? 52.35,? 28.82,,,,,,,,,
30-Sep-02,? 53.91,? 28.86,,,,,,,,,
31-Aug-02,? 52.02,? 28.63,,,,,,,,,
31-Jul-02,? 50.21,? 28.47,,,,,,,,,
30-Jun-02,? 48.28,? 28.35,,,,,,,,,
31-May-02,? 47.08,? 28.54,,,,,,,,,
30-Apr-02,? 45.85,? 28.78,,,,,,,,,
31-Mar-02,? 44.87,? 28.96,,,,,,,,,
28-Feb-02,? 45.12,? 28.79,,,,,,,,,
31-Jan-02,? 45.29,? 28.60,,,,,,,,,
31-Dec-01,? 45.38,? 28.57,,,,,,,,,
30-Nov-01,? 47.41,? 28.74,,,,,,,,,
31-Oct-01,? 49.54,? 28.86,,,,,,,,,
30-Sep-01,? 51.57,? 28.93,,,,,,,,,
31-Aug-01,? 56.98,? 28.82,,,,,,,,,
31-Jul-01,? 62.15,? 28.76,,,,,,,,,
30-Jun-01,? 67.13,? 28.67,,,,,,,,,
31-May-01,? 72.51,? 28.76,,,,,,,,,
30-Apr-01,? 78.14,? 28.73,,,,,,,,,
31-Mar-01,? 83.76,? 28.62,,,,,,,,,
28-Feb-01,? 86.76,? 28.85,,,,,,,,,
31-Jan-01,? 89.93,? 29.15,,,,,,,,,
31-Dec-00,? 93.33,? 29.44,,,,,,,,,
30-Nov-00,? 95.58,? 29.69,,,,,,,,,
31-Oct-00,? 97.94,? 30.00,,,,,,,,,
30-Sep-00,? 100.41,? 30.37,,,,,,,,,
31-Aug-00,? 99.82,? 30.40,,,,,,,,,
31-Jul-00,? 98.71,? 30.47,,,,,,,,,
30-Jun-00,? 97.82,? 30.57,,,,,,,,,
31-May-00,? 97.72,? 30.95,,,,,,,,,
30-Apr-00,? 97.22,? 31.17,,,,,,,,,
31-Mar-00,? 96.66,? 31.47,,,,,,,,,
29-Feb-00,? 95.69,? 31.67,,,,,,,,,
31-Jan-00,? 94.47,? 31.75,,,,,,,,,
,,? 31.80,,,,,,,,,
,,? 32.02,,,,,,,,,
,,? 32.16,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
